name,company,address1,address2,city,state,zip,gift_message
"Debra Valdez","Epsilon Solutions","7101 Flores St","","Baltimore","CA","23165",""
"Raymond Harris","","5825 Wilson Pl","Suite 245","Anchorage","DE","85425","Thank you for your commitment!"
"Dorothy Dominguez","","142 Campbell Way","Suite 312","Beaumont","OR","56928",""
"Joshua Vazquez","Tech Solutions Inc","7493 Clark Blvd","","Jersey City","UT","51941",""
"Joan Carroll","","4293 Butler Ct","","Fayetteville","CA","46347","Wishing you joy and success!"
"Brenda Weaver","Tech Solutions Inc","5155 Griffin Blvd","","West Covina","GA","21773",""
"Jose Gomez","","5070 Wilson Pl","Suite 466","Phoenix","WA","38336","Wishing you a joyful holiday season!"
"Dylan Morrison","Catalyst Systems","5374 Roberts Ln","","Joliet","NJ","55766","Wishing you continued success!"
"John Howard","Matrix Corporation","2124 Adams Cir","","Cedar Rapids","WV","68822","Happy Holidays to you and yours!"
"Stephanie Porter","","1739 Howard Ln","","Broken Arrow","GA","50185","Wishing you happiness and prosperity!"
